                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  299999733 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  124000657 |  124000657 |  124000657 |  124000657 |  124000657 |  124000657 |  124000657 |  124000657
  IPC                                |       2.42 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   36470782 |   36470782 |   36470782 |   36470782 |   36470782 |   36470782 |   36470782 |   36470782
  Idle time (ns)                     |      90534 |   36470782 |   36470782 |   36470782 |   36470782 |   36470782 |   36470782 |   36470782
  Idle time (%)                      |       0.2% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   23664657 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |        116 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   28941869 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |          8 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  152028014 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       1889 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       1897 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       1863 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     98.21% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   28941869 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       1380 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  152028024 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     119570 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.08% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     120954 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     120950 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |    100.00% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     120954 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      66753 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     55.19% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.22 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     131218 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     103.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       1.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      12077 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
