                                     | Core 0      | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  2499999149 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   866910685 |  866910685 |  866910685 |  866910685 |  866910685 |  866910685 |  866910685 |  866910685
  IPC                                |        2.88 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   254973731 |  254973731 |  254973731 |  254973731 |  254973731 |  254973731 |  254973731 |  254973731
  Idle time (ns)                     |       63152 |  254973731 |  254973731 |  254973731 |  254973731 |  254973731 |  254973731 |  254973731
  Idle time (%)                      |        0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |             |            |            |            |            |            |            |           
  num correct                        |   184941021 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |       10809 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |       0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |             |            |            |            |            |            |            |           
  I-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   309626912 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |         167 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   969713809 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      640562 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.07% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.26 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |             |            |            |            |            |            |            |           
    num accesses                     |      640729 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       15094 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       2.36% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |             |            |            |            |            |            |            |           
  Cache L1-I                         |             |            |            |            |            |            |            |           
    num cache accesses               |   309626912 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       13062 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.00% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |             |            |            |            |            |            |            |           
    num cache accesses               |   969713849 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    10940188 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       1.13% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        4.38 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |             |            |            |            |            |            |            |           
    num cache accesses               |    11004527 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     1110726 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      10.09% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.44 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |             |            |            |            |            |            |            |           
    num cache accesses               |     1162006 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      791784 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      68.14% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.32 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |             |            |            |            |            |            |            |           
  num dram accesses                  |     1340902 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     1474.44 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     1371.93 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |       1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |            |            |            |            |           
  num loads from dram                |      389252 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
