                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                       |  2499999693 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  Cycles                             |  2725124420 |  2725124420 |  2725124420 |  2725124420 |  2725124420 |  2725124420 |  2725124420 |  2725124420
  IPC                                |        0.92 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  Time (ns)                          |   801507183 |   801507183 |   801507183 |   801507183 |   801507183 |   801507183 |   801507183 |   801507183
  Idle time (ns)                     |       57215 |   801507183 |   801507183 |   801507183 |   801507183 |   801507183 |   801507183 |   801507183
  Idle time (%)                      |        0.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0% |      100.0%
Branch predictor stats               |             |             |             |             |             |             |             |            
  num correct                        |   327628743 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num incorrect                      |    31554445 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  misprediction rate                 |       8.79% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                               |       12.62 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   247108789 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |         838 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |            
    num accesses                     |   845297973 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     2744827 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.32% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        1.10 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |            
    num accesses                     |     2745665 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                       |     1523945 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      55.50% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.61 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |            
    num cache accesses               |   247108789 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |      181718 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       0.07% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        0.07 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L1-D                         |             |             |             |             |             |             |             |            
    num cache accesses               |   845299023 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |    19592212 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |       2.32% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        7.84 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L2                           |             |             |             |             |             |             |             |            
    num cache accesses               |    19880616 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     7522530 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      37.84% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        3.01 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  Cache L3                           |             |             |             |             |             |             |             |            
    num cache accesses               |     7629344 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num cache misses                 |     3032537 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                        |      39.75% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf% |        inf%
    mpki                             |        1.21 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
DRAM summary                         |             |             |             |             |             |             |             |            
  num dram accesses                  |     3375903 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      277.33 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      174.82 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       1.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |            
  num loads from dram                |     2790253 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
