                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999575 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  233731044 |  233731044 |  233731044 |  233731044 |  233731044 |  233731044 |  233731044 |  233731044
  IPC                                |       2.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   68744425 |   68744425 |   68744425 |   68744425 |   68744425 |   68744425 |   68744425 |   68744425
  Idle time (ns)                     |      22182 |   68744425 |   68744425 |   68744425 |   68744425 |   68744425 |   68744425 |   68744425
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   72359206 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    2996228 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      3.98% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       5.99 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   86574069 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |    1008804 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.17% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       2.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  208080742 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      12898 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    1021702 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        197 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   86574069 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |        874 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  208484265 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      14000 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.01% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      14874 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      14250 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     95.80% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      14250 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      12629 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     88.62% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      12629 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     102.50 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |        428 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
