                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999612 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  494555407 |  494555407 |  494555407 |  494555407 |  494555407 |  494555407 |  494555407 |  494555407
  IPC                                |       1.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  145457473 |  145457473 |  145457473 |  145457473 |  145457473 |  145457473 |  145457473 |  145457473
  Idle time (ns)                     |       5500 |  145457473 |  145457473 |  145457473 |  145457473 |  145457473 |  145457473 |  145457473
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   48270482 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    3531049 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      6.82% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       7.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   75249240 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     469312 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.62% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.94 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  298978014 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |    2059450 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.69% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       4.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |    2528762 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     298424 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     11.80% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   75249240 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |   16201389 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     21.53% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      32.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  298989954 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    1779770 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.60% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |   17998288 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    1893883 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     10.52% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       3.79 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    1911016 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     238688 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     12.49% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.48 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     394761 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     106.21 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       3.70 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      69513 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
