                                     | Core 0      | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  2499999763 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |   934219083 |  934219083 |  934219083 |  934219083 |  934219083 |  934219083 |  934219083 |  934219083
  IPC                                |        2.68 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   274770319 |  274770319 |  274770319 |  274770319 |  274770319 |  274770319 |  274770319 |  274770319
  Idle time (ns)                     |       43436 |  274770319 |  274770319 |  274770319 |  274770319 |  274770319 |  274770319 |  274770319
  Idle time (%)                      |        0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |             |            |            |            |            |            |            |           
  num correct                        |    16721975 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          70 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |             |            |            |            |            |            |            |           
  I-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   176148125 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |           3 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |             |            |            |            |            |            |            |           
    num accesses                     |   979232945 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     5316402 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.54% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        2.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |             |            |            |            |            |            |            |           
    num accesses                     |     5316405 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     1519675 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      28.58% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |        0.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |             |            |            |            |            |            |            |           
  Cache L1-I                         |             |            |            |            |            |            |            |           
    num cache accesses               |   176148125 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       78757 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.04% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |             |            |            |            |            |            |            |           
    num cache accesses               |   979232945 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     8542442 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       0.87% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.42 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |             |            |            |            |            |            |            |           
    num cache accesses               |     8621199 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     8531122 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      98.96% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        3.41 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |             |            |            |            |            |            |            |           
    num cache accesses               |     8531122 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     3841161 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      45.03% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        1.54 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |             |            |            |            |            |            |            |           
  num dram accesses                  |     7681986 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      102.66 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |        0.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |       6.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |            |            |            |            |            |            |           
  num loads from dram                |        9617 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
