                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  699998535 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  591314728 |  591314728 |  591314728 |  591314728 |  591314728 |  591314728 |  591314728 |  591314728
  IPC                                |       1.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  173916097 |  173916097 |  173916097 |  173916097 |  173916097 |  173916097 |  173916097 |  173916097
  Idle time (ns)                     |      69353 |  173916097 |  173916097 |  173916097 |  173916097 |  173916097 |  173916097 |  173916097
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   67761301 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    2517062 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      3.58% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       3.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  110862116 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        120 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  291720447 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |     291076 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.10% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.42 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |     291196 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      86210 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     29.61% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |  110862116 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      29960 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.03% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  291720977 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    4954664 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      1.70% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       7.08 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5410139 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    4627120 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     85.53% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       6.61 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5052651 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |    4100750 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     81.16% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       5.86 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |    7747485 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |   48813.91 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |   48711.41 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     11.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |     985819 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
