                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  699996970 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  443174587 |  443174587 |  443174587 |  443174587 |  443174587 |  443174587 |  443174587 |  443174587
  IPC                                |       1.58 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |  130345467 |  130345467 |  130345467 |  130345467 |  130345467 |  130345467 |  130345467 |  130345467
  Idle time (ns)                     |     105774 |  130345467 |  130345467 |  130345467 |  130345467 |  130345467 |  130345467 |  130345467
  Idle time (%)                      |       0.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |  144215965 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |    5778063 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      3.85% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       8.25 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   80921407 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  438905833 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       4785 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       4785 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       3245 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     67.82% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   80921407 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       4007 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  438905833 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     708245 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.16% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       1.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     713476 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     247147 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     34.64% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.35 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     248371 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     207918 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     83.71% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.30 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     415213 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     102.50 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      30641 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
