                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  499999848 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  159335904 |  159335904 |  159335904 |  159335904 |  159335904 |  159335904 |  159335904 |  159335904
  IPC                                |       3.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   46863501 |   46863501 |   46863501 |   46863501 |   46863501 |   46863501 |   46863501 |   46863501
  Idle time (ns)                     |       5647 |   46863501 |   46863501 |   46863501 |   46863501 |   46863501 |   46863501 |   46863501
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   59949787 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |     487967 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.81% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.98 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   83078351 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        215 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |  220140331 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |      46016 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      46231 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |       9842 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     21.29% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   83078351 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |      15961 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.02% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |  220140331 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     949673 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.43% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       1.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     983610 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     758294 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     77.09% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       1.52 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     776338 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |     182039 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     23.45% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.36 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |     253486 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     779.46 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     676.96 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      28192 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
