                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     571650 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |    1367140 |    1367140 |    1367140 |    1367140 |    1367140 |    1367140 |    1367140 |    1367140
  IPC                                |       0.42 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     402100 |     402100 |     402100 |     402100 |     402100 |     402100 |     402100 |     402100
  Idle time (ns)                     |        395 |     402100 |     402100 |     402100 |     402100 |     402100 |     402100 |     402100
  Idle time (%)                      |       0.1% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      91320 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |       9587 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      9.50% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |      16.77 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      63755 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        125 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.20% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     221377 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        783 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.35% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       1.37 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        908 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                       |        277 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     30.51% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.48 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      63755 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       1537 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      2.41% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       2.69 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     221403 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       5784 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      2.61% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |      10.12 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       7500 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       5660 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     75.47% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       9.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5850 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |       5482 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |     93.71% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       9.59 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |       5482 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     105.44 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       2.94 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       2953 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
